imputation_id;vaccine;sex;age_group;cov;var;imputation_method
4;Vaxzevria;M;80+;742240;550061.9894;multiple imputation
5;Comirnaty;F;12-17;13756746;7065244.825;multiple imputation
5;Comirnaty;F;18-24;17646634;12323855.58;multiple imputation
5;Comirnaty;F;25-29;12254698;11542286.77;multiple imputation
5;Comirnaty;F;30-39;30079901;25845589.13;multiple imputation
5;Comirnaty;F;40-49;36225347;29873606.45;multiple imputation
5;Comirnaty;F;5-11;107501;107055.7086;multiple imputation
5;Comirnaty;F;50-59;37349122;24655234.05;multiple imputation
5;Comirnaty;F;60-69;26125557;17076398.58;multiple imputation
5;Comirnaty;F;70-79;27992975;18414172.86;multiple imputation
5;Comirnaty;F;80+;23378742;14029632.13;multiple imputation
5;Comirnaty;M;12-17;14325281;7070338.119;multiple imputation
5;Comirnaty;M;18-24;16268506;11492864.67;multiple imputation
5;Comirnaty;M;25-29;12827365;12050299.11;multiple imputation
5;Comirnaty;M;30-39;28965583;24825988.9;multiple imputation
5;Comirnaty;M;40-49;35657780;29683546.01;multiple imputation
5;Comirnaty;M;5-11;106888;106194.5926;multiple imputation
5;Comirnaty;M;50-59;36275471;24347917.07;multiple imputation
5;Comirnaty;M;60-69;22692482;15504133.01;multiple imputation
5;Comirnaty;M;70-79;24532917;17470944.08;multiple imputation
5;Comirnaty;M;80+;14493966;10863953.43;multiple imputation
5;Spikevax;F;12-17;922351;478626.3008;multiple imputation
5;Spikevax;F;18-24;3273210;2208517.386;multiple imputation
5;Spikevax;F;25-29;2546679;2333032.536;multiple imputation
5;Spikevax;F;30-39;5155849;4287020.713;multiple imputation
5;Spikevax;F;40-49;5154980;4317746.137;multiple imputation
5;Spikevax;F;5-11;8127;7815.5638;multiple imputation
5;Spikevax;F;50-59;5594886;3729417.7;multiple imputation
5;Spikevax;F;60-69;3509021;2289875.781;multiple imputation
5;Spikevax;F;70-79;3108892;2004713.713;multiple imputation
5;Spikevax;F;80+;2271055;1317177.202;multiple imputation
5;Spikevax;M;12-17;985593;480306.7822;multiple imputation
5;Spikevax;M;18-24;3016583;2026377.307;multiple imputation
5;Spikevax;M;25-29;2447750;2258879.532;multiple imputation
5;Spikevax;M;30-39;5087011;4242339.307;multiple imputation
5;Spikevax;M;40-49;5118451;4280822.91;multiple imputation
5;Spikevax;M;5-11;5774;5651.754677;multiple imputation
5;Spikevax;M;50-59;5677830;3732466.368;multiple imputation
5;Spikevax;M;60-69;3061621;2051669.803;multiple imputation
5;Spikevax;M;70-79;2554147;1770666.296;multiple imputation
5;Spikevax;M;80+;1487729;1099589.781;multiple imputation
5;Vaxzevria;F;10-19;228614;200280.4693;multiple imputation
5;Vaxzevria;F;20-29;1647833;1365895.01;multiple imputation
5;Vaxzevria;F;30-39;2615517;2181339.843;multiple imputation
5;Vaxzevria;F;40-49;3750755;2892786.106;multiple imputation
5;Vaxzevria;F;50-59;4536168;2864274.239;multiple imputation
5;Vaxzevria;F;60-69;13167280;7965531.18;multiple imputation
5;Vaxzevria;F;70-79;5370227;3360218.388;multiple imputation
5;Vaxzevria;F;80+;1087098;723118.088;multiple imputation
5;Vaxzevria;M;10-19;134788;122689.3989;multiple imputation
5;Vaxzevria;M;20-29;1077223;962791.668;multiple imputation
5;Vaxzevria;M;30-39;2232365;1935011.522;multiple imputation
5;Vaxzevria;M;40-49;3051155;2466710.322;multiple imputation
5;Vaxzevria;M;50-59;4274395;2848268.389;multiple imputation
5;Vaxzevria;M;60-69;13390004;8050021.371;multiple imputation
5;Vaxzevria;M;70-79;5157132;3303065.955;multiple imputation
5;Vaxzevria;M;80+;878291;679094.0893;multiple imputation
6;Comirnaty;F;12-17;13866116;7069307.89;multiple imputation
6;Comirnaty;F;18-24;16995498;11620839.7;multiple imputation
6;Comirnaty;F;25-29;12854284;11955030.71;multiple imputation
6;Comirnaty;F;30-39;29795976;25335959.19;multiple imputation
6;Comirnaty;F;40-49;36719665;30069225.45;multiple imputation
6;Comirnaty;F;5-11;53220;53129.67369;multiple imputation
6;Comirnaty;F;50-59;37289074;24404269.07;multiple imputation
6;Comirnaty;F;60-69;26474331;17238778.17;multiple imputation
6;Comirnaty;F;70-79;27459817;17798842.43;multiple imputation
6;Comirnaty;F;80+;23288451;13807430.27;multiple imputation
6;Comirnaty;M;12-17;14264118;7067575.891;multiple imputation
6;Comirnaty;M;18-24;16856484;11904790.09;multiple imputation
6;Comirnaty;M;25-29;11297217;10553755.38;multiple imputation
6;Comirnaty;M;30-39;28848046;24603186.7;multiple imputation
6;Comirnaty;M;40-49;36025399;29589772.88;multiple imputation
6;Comirnaty;M;5-11;108427;108104.2637;multiple imputation
6;Comirnaty;M;50-59;35947605;23888689.49;multiple imputation
6;Comirnaty;M;60-69;24399545;16881768.64;multiple imputation
6;Comirnaty;M;70-79;23565401;16487711.75;multiple imputation
6;Comirnaty;M;80+;14950253;11201960.94;multiple imputation
6;Spikevax;F;12-17;929924;479572.8676;multiple imputation
6;Spikevax;F;18-24;3223496;2159992.407;multiple imputation
6;Spikevax;F;25-29;2525902;2347893.284;multiple imputation
6;Spikevax;F;30-39;5359148;4487720.963;multiple imputation
6;Spikevax;F;40-49;5197525;4402161.41;multiple imputation
6;Spikevax;F;5-11;10055;10506.55188;multiple imputation
6;Spikevax;F;50-59;5395231;3557694.088;multiple imputation
